Entradas	Target	Salida sigmoide	Predicción (umbral 0.5)
[0 0]	0	0.102		0
[0 1]	1	0.655		1
[1 0]	1	0.655		1
[1 1]	0	0.674		1



Entradas	Target	Salida sigmoide	Predicción (umbral 0.5)
[-1 -1 -1 -1]	0	0.768		1
[ 1 -1 -1 -1]	1	0.749		1
[-1  1 -1 -1]	1	0.812		1
[ 1  1 -1 -1]	0	0.041		0
[-1 -1  1 -1]	1	0.744		1
[ 1 -1  1 -1]	0	0.038		0
[-1  1  1 -1]	0	0.037		0
[ 1  1  1 -1]	0	0.010		0
[-1 -1 -1  1]	1	0.808		1
[ 1 -1 -1  1]	0	0.040		0
[-1  1 -1  1]	0	0.047		0
[ 1  1 -1  1]	0	0.017		0
[-1 -1  1  1]	0	0.037		0
[ 1 -1  1  1]	0	0.010		0
[-1  1  1  1]	0	0.015		0
[1 1 1 1]	0	0.014		0
