Entradas	Target	Salida sigmoide	Predicción (umbral 0.5)
[-1 -1 -1 -1]	0	0.561		1
[ 1 -1 -1 -1]	1	0.894		1
[-1  1 -1 -1]	1	0.895		1
[ 1  1 -1 -1]	0	0.052		0
[-1 -1  1 -1]	1	0.529		1
[ 1 -1  1 -1]	0	0.037		0
[-1  1  1 -1]	0	0.037		0
[ 1  1  1 -1]	0	0.009		0
[-1 -1 -1  1]	1	0.895		1
[ 1 -1 -1  1]	0	0.048		0
[-1  1 -1  1]	0	0.050		0
[ 1  1 -1  1]	0	0.018		0
[-1 -1  1  1]	0	0.040		0
[ 1 -1  1  1]	0	0.008		0
[-1  1  1  1]	0	0.009		0
[1 1 1 1]	0	0.016		0


Entradas	Target	Salida sigmoide	Predicción (umbral 0.5)
[0 0]	0	0.065		0
[0 1]	1	0.935		1
[1 0]	1	0.922		1
[1 1]	0	0.068		0
