Entradas	Target	Salida sigmoide	Predicción (umbral 0.5)
[0 0]	0	0.045		0
[0 1]	1	0.940		1
[1 0]	1	0.947		1
[1 1]	0	0.065		0


Entradas	Target	Salida sigmoide	Predicción (umbral 0.5)
[-1 -1 -1 -1]	0	0.142		0
[ 1 -1 -1 -1]	1	0.888		1
[-1  1 -1 -1]	1	0.893		1
[ 1  1 -1 -1]	0	0.027		0
[-1 -1  1 -1]	1	0.952		1
[ 1 -1  1 -1]	0	0.059		0
[-1  1  1 -1]	0	0.028		0
[ 1  1  1 -1]	0	0.027		0
[-1 -1 -1  1]	1	0.940		1
[ 1 -1 -1  1]	0	0.005		0
[-1  1 -1  1]	0	0.056		0
[ 1  1 -1  1]	0	0.002		0
[-1 -1  1  1]	0	0.049		0
[ 1 -1  1  1]	0	0.027		0
[-1  1  1  1]	0	0.017		0
[1 1 1 1]	0	0.005		0
